t_s	i_a
21.615	-0.0003472797
21.672	-0.0003470711
21.729	-0.0003470086
21.786	-0.0003471546
21.842	-0.0003471754
21.899	-0.0003465706
21.956	-0.0003474048
22.013	-0.0003469669
22.070	-0.0003472588
22.127	-0.0003471128
22.184	-0.0003474048
22.241	-0.0003468834
22.298	-0.0003477385
22.355	-0.0003469669
22.413	-0.0003470503
22.470	-0.0003475717
22.527	-0.0003471963
22.584	-0.0003470294
22.641	-0.0003472797
22.698	-0.0003472797
22.754	-0.0003472588
22.811	-0.0003469251
22.868	-0.0003475091
22.924	-0.000347092
22.981	-0.0003471128
23.037	-0.000347092
23.094	-0.0003470711
23.151	-0.0003474257
23.208	-0.0003473631
23.265	-0.0003472797
23.322	-0.000347238
23.379	-0.000347238
23.436	-0.0003471754
23.492	-0.000347384
23.550	-0.0003471963
23.607	-0.0003471128
23.664	-0.0003475299
23.722	-0.0003467583
23.779	-0.0003472797
23.835	-0.0003470294
23.892	-0.0003475091
23.949	-0.0003470294
24.006	-0.0003469043
24.062	-0.000347238
24.119	-0.0003471546
24.176	-0.0003472797
24.233	-0.0003471754
24.289	-0.0003472171
24.346	-0.0003471754
24.403	-0.0003472588
24.460	-0.0003470086
24.516	-0.0003471963
24.573	-0.0003476342
24.630	-0.0003473631
24.688	-0.0003470294
24.745	-0.0003469251
24.801	-0.000347238
24.859	-0.0003474257
24.916	-0.0003474674
24.973	-0.0003474882
25.031	-0.0003472171
25.087	-0.0003473005
25.144	-0.0003470294
25.201	-0.0003472797
25.258	-0.0003467166
25.314	-0.0003471754
25.371	-0.0003473422
25.427	-0.000347238
25.484	-0.0003469877
25.541	-0.0003475508
25.598	-0.0003471754
25.654	-0.000347238
25.711	-0.0003471337
25.768	-0.0003474882
25.825	-0.000346946
25.882	-0.0003470503
25.939	-0.0003473214
25.997	-0.0003471337
26.054	-0.0003474048
26.111	-0.0003479053
26.168	-0.0003470086
26.226	-0.000347238
26.282	-0.0003473422
26.340	-0.0003468834
26.396	-0.0003475508
26.453	-0.0003467792
26.510	-0.0003471128
26.567	-0.0003473422
26.624	-0.0003474257
26.680	-0.0003470086
26.737	-0.0003470503
26.794	-0.0003472797
26.851	-0.0003471128
26.907	-0.0003470711
26.964	-0.001084112
27.021	-0.001083903
27.077	-0.001083987
27.135	-0.001083966
27.192	-0.001084779
27.248	-0.001084467
27.306	-0.001084383
27.363	-0.001084842
27.420	-0.001084508
27.477	-0.001084904
27.534	-0.001084029
27.590	-0.001084654
27.647	-0.00108505
27.704	-0.00108505
27.760	-0.001084592
27.817	-0.001084216
27.874	-0.001084571
27.931	-0.001085572
27.988	-0.005685783
28.044	-0.005666075
28.101	-0.005666805
28.158	-0.005667993
28.214	-0.005668494
28.272	-0.005669599
28.328	-0.005670413
28.385	-0.00567206
28.443	-0.005673979
28.500	-0.005676669
28.557	-0.00568011
28.615	-0.005684073
28.672	-0.005688786
28.729	-0.005693478
28.787	-0.005698776
28.843	-0.005703697
28.900	-0.005709141
28.956	-0.005714062
29.013	-0.005719401
29.070	-0.005723927
29.127	-0.005729328
29.183	-0.005734208
29.240	-0.00573961
29.297	-0.005743948
29.354	-0.005747952
29.411	-0.005752957
29.468	-0.005756774
29.525	-0.005760923
29.582	-0.005764802
29.639	-0.005768702
29.695	-0.005772665
29.753	-0.005737003
29.899	-0.02071159
29.955	-0.02070846
30.144	-0.0003478636
30.200	-0.0003473631
30.257	-0.000347384
30.314	-0.0003473214
30.371	-0.0003473214
30.428	-0.0003470711
30.484	-0.0003471546
30.542	-0.0003471128
30.599	-0.0003472588
30.656	-0.0003471754
30.713	-0.0003476968
30.770	-0.0003468626
30.827	-0.0003471754
30.884	-0.0003473214
30.941	-0.0003471337
30.997	-0.0003471963
31.054	-0.0003470294
31.111	-0.0003471337
31.168	-0.0003474882
31.225	-0.0003472171
31.281	-0.0003474882
31.338	-0.0003470503
31.395	-0.0003470294
31.452	-0.0003473631
31.508	-0.0003475091
31.565	-0.0003474048
31.622	-0.0003471546
31.679	-0.0003473631
31.736	-0.0003471963
31.793	-0.0003471754
31.851	-0.0003471963
